Student,LPIPS,SSIM
113590013.png,0.0,1.0
113590006.png,0.45614248514175415,0.32933283497882987
113590059.png,0.47110113501548767,0.34716502653315173
113590049.png,0.47913241386413574,0.32939762646644327
113590002.png,0.48072364926338196,0.41470323433101675
113590018.png,0.48275992274284363,0.34961301272633444
112590058.jpg,0.482795387506485,0.25464791364610306
113590008.png,0.4900972545146942,0.27319838608185143
113590042.png,0.49649304151535034,0.3761393852484832
113590011.png,0.4979068338871002,0.3421837658179624
113590023.png,0.498129278421402,0.3154965259709866
113590045.png,0.5046882629394531,0.36048072853350055
113590062.png,0.5071024298667908,0.3167323735483127
112590452.png,0.507548451423645,0.3899592876532989
113590036.png,0.5121933221817017,0.37890852263891867
111590455.png,0.51933753490448,0.3170555460744569
113590052.png,0.5205074548721313,0.403296347802032
110590455.png,0.5217430591583252,0.4015522074990552
113590050.png,0.5235744714736938,0.3209000291917878
113AC1012.png,0.5237632989883423,0.38250119134990035
112590454.png,0.523817777633667,0.36165505826576255
113590028.png,0.5240957736968994,0.3329834417323046
113AB0018.png,0.5243601202964783,0.3588009665481134
113590015.png,0.5261160135269165,0.38294091930816154
113590051.png,0.5287628173828125,0.4088238538386333
113590056.png,0.5299622416496277,0.4163245537477982
114054809.png,0.5323275923728943,0.38199739804628025
111590028.png,0.5325124859809875,0.41886734991685987
113590003.png,0.5338727831840515,0.3900493298795895
113590031.png,0.534146249294281,0.391865099197945
113590057.png,0.5343791246414185,0.3587502020459774
111590047.png,0.5345155596733093,0.39455735805412356
113590039.png,0.535350501537323,0.396788537284782
113370239.png,0.5355413556098938,0.39742960094105323
113590001.png,0.5375919342041016,0.33959932205481586
112590040.png,0.5386137366294861,0.35125237944434506
113590044.png,0.5387842655181885,0.3415842747902118
112590455.png,0.5389970541000366,0.3808564620064721
113590026.png,0.540334939956665,0.3972863042315117
113590061.png,0.5431895852088928,0.37572146937444073
111590062.png,0.5566834211349487,0.3677005993915335
113590021.png,0.5573846101760864,0.37511326255935307
113590022.png,0.5598006844520569,0.3748793242602801
113590033.png,0.5614266395568848,0.39086391207345855
113590060.png,0.5628595948219299,0.4005662870214959
113590032.png,0.5688866972923279,0.3995622347689557
113590010.png,0.5764668583869934,0.3769661997150655
113590047.png,0.5842586755752563,0.4264169183209254
113590005.png,0.5886508822441101,0.41620012708377685
113590040.png,0.5992597341537476,0.37472360536673605
113590004.png,0.6018326878547668,0.4138236352424999
113590043.png,0.6088913679122925,0.43319982948784
113590025.png,0.6113294363021851,0.4279197307374919
111590042.png,0.6342613101005554,0.4410111180230428
